Series_Title,Released_Year,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes
Ford v Ferrari,2019,8.1,81,James Mangold,Matt Damon,291289
Mission: Impossible - Fallout,2018,7.7,86,Christopher McQuarrie,Tom Cruise,291257
Tonari no Totoro,1988,8.2,86,Hayao Miyazaki,Hitoshi Takagi,291180
Apocalypto,2006,7.8,68,Mel Gibson,Gerardo Taracena,291018
Gone with the Wind,1939,8.1,97,Victor Fleming,George Cukor,290074
Magnolia,1999,8,77,Paul Thomas Anderson,Tom Cruise,289742
The Wrestler,2008,7.9,80,Darren Aronofsky,Mickey Rourke,289415
3:10 to Yuma,2007,7.7,76,James Mangold,Russell Crowe,288797
Bridge of Spies,2015,7.6,81,Steven Spielberg,Tom Hanks,287659
Seven Pounds,2008,7.6,36,Gabriele Muccino,Will Smith,286770
"O Brother, Where Art Thou?",2000,7.7,69,Joel Coen,Ethan Coen,286742
Serenity,2005,7.8,74,Joss Whedon,Nathan Fillion,283310
The Untouchables,1987,7.9,79,Brian De Palma,Kevin Costner,281842
Jagten,2012,8.3,77,Thomas Vinterberg,Mads Mikkelsen,281623
Gattaca,1997,7.8,64,Andrew Niccol,Ethan Hawke,280845
Donnie Brasco,1997,7.7,76,Mike Newell,Al Pacino,279318
As Good as It Gets,1997,7.7,67,James L. Brooks,Jack Nicholson,275755
Moana,2016,7.6,81,Ron Clements,John Musker,272784
Before Sunrise,1995,8.1,77,Richard Linklater,Ethan Hawke,272291
Apollo 13,1995,7.6,77,Ron Howard,Tom Hanks,269197
Lawrence of Arabia,1962,8.3,100,David Lean,Peter O'Toole,268085
The Fugitive,1993,7.8,87,Andrew Davis,Harrison Ford,267684
The Royal Tenenbaums,2001,7.6,76,Wes Anderson,Gene Hackman,266842
Scent of a Woman,1992,8,59,Martin Brest,Al Pacino,263918
Fear and Loathing in Las Vegas,1998,7.6,41,Terry Gilliam,Johnny Depp,259753
Pride & Prejudice,2005,7.8,82,Joe Wright,Keira Knightley,258924
Mulan,1998,7.6,71,Tony Bancroft,Barry Cook,256906
Stardust,2007,7.6,66,Matthew Vaughn,Charlie Cox,255036
The Graduate,1967,8,83,Mike Nichols,Dustin Hoffman,253676
Wo hu cang long,2000,7.8,94,Ang Lee,Yun-Fat Chow,253228
Almost Famous,2000,7.9,90,Cameron Crowe,Billy Crudup,252586
Annie Hall,1977,8,92,Woody Allen,Woody Allen,251823
Atonement,2007,7.8,85,Joe Wright,Keira Knightley,251370
Gone Baby Gone,2007,7.6,72,Ben Affleck,Morgan Freeman,250590
Incredibles 2,2018,7.6,80,Brad Bird,Craig T. Nelson,250057
Creed,2015,7.6,82,Ryan Coogler,Michael B. Jordan,247666
Manchester by the Sea,2016,7.8,96,Kenneth Lonergan,Casey Affleck,246963
Road to Perdition,2002,7.7,72,Sam Mendes,Tom Hanks,246840
Marriage Story,2019,7.9,94,Noah Baumbach,Adam Driver,246644
The Goonies,1985,7.8,62,Richard Donner,Sean Astin,244430
Some Like It Hot,1959,8.2,98,Billy Wilder,Marilyn Monroe,243943
Enemy at the Gates,2001,7.6,53,Jean-Jacques Annaud,Jude Law,243729
Office Space,1999,7.7,68,Mike Judge,Ron Livingston,241575
The Sting,1973,8.3,83,George Roy Hill,Paul Newman,241513
Blow,2001,7.6,52,Ted Demme,Johnny Depp,240714
Dances with Wolves,1990,8,72,Kevin Costner,Kevin Costner,240266
Boogie Nights,1997,7.9,85,Paul Thomas Anderson,Mark Wahlberg,239473
Changeling,2008,7.7,63,Clint Eastwood,Angelina Jolie,239203
The Little Mermaid,1989,7.6,88,Ron Clements,John Musker,237696
The Gentlemen,2019,7.8,51,Guy Ritchie,Matthew McConaughey,237392
Lethal Weapon,1987,7.6,68,Richard Donner,Mel Gibson,236894
Before Sunset,2004,8.1,90,Richard Linklater,Ethan Hawke,236311
Dog Day Afternoon,1975,8,86,Sidney Lumet,Al Pacino,235652
A Few Good Men,1992,7.7,62,Rob Reiner,Tom Cruise,235388
Hotaru no haka,1988,8.5,94,Isao Takahata,Tsutomu Tatsumi,235231
Walk the Line,2005,7.8,72,James Mangold,Joaquin Phoenix,234207
Halloween,1978,7.7,87,John Carpenter,Donald Pleasence,233106
Per qualche dollaro in più,1965,8.3,74,Sergio Leone,Clint Eastwood,232772
